index,Question,Answer
,"Which of the following are true statements? (Choose all that apply.)
A. WEP uses shared-key encryption with TKIP.
B. WEP uses shared-key encryption with RC4.
C. WPA2 uses shared-key encryption with RC4.
D. WPA uses TKIP and AES encryption.","B, D. WEP uses a 24-bit initialization vector and RC4 to “encrypt” data
transmissions, although saying that makes me shake in disgust because it’s really a
misnomer. WEP was designed as basic encryption merely to simulate the “security”of being on a wired network—hence, the “Equivalent” part in Wired Equivalent
Privacy. It was never intended as true encryption protection. WPA was an
improvement on two fronts. First, the shared key portion of encryption was greatlyenhanced by the use of Temporal Key Integrity Protocol (TKIP). In short, the keyused to encrypt data was made temporary in nature and is swapped out every 10,000packets or so. Additionally, WPA2 uses NIST-approved encryption with AES as thealgorithm of choice."
,"Which of the following would you recommend as a means to deny network access byunauthorized wireless devices to network assets?
A. Wireless access control list
B. Wireless jammer
C. Wireless analyzer
D. Wireless access point","A. Of the choices provided, the access control list is the only one that makes sense.
This is what exactly what an access control list is designed for: by making sure onlydevices that are authorized can connect, you ensure unauthorized devices cannot
connect (or at least take steps to avoid their connection). As a side note here, be
careful not to confuse a wireless intrusion prevention system (WIPS) with the ACL.
A WIPS will monitor your traffic and, just like the better-known network intrusionprevention system, will take steps to prevent intrusion based on traffic analysis,
thresholds, and alerts. Lastly, on questions like this, the process of elimination canhelp you discern the answer pretty easily."
,"While on vacation, Joe receives a phone call from his identity alert service notifying himthat two of his accounts have been accessed in the past hour. Earlier in the day, he did
connect a laptop to a wireless hotspot at McDonald’s and accessed the two accounts in
question. Which of the following is the most likely attack used against Joe?
A. Unauthorized association
B. Honeyspot access point
C. Rogue access point
D. Jamming signal","B. Sometimes EC-Council creates and uses redundant terminology, so don’t blame
me for this insanely annoying jewel. In this case, Joe most likely connected to what
he thought was the legitimate McDonald’s free Wi-Fi while he was getting his morning
coffee and checked the accounts in question. However, an attacker in (or close to) the
restaurant had set up another wireless network using the same SSID as the restaurant’s.
This practice is known as the honeyspot attack."
,"An attacker is attempting to crack a WEP code to gain access to the network. After
enabling monitor mode on wlan0 and creating a monitoring interface (mon 0), she
types this command:
aireplay –ng -0 0 –a 0A:00:2B:40:70:80 –c mon0
What is she trying to accomplish?","B. Within 802.11 standards, there are several different management-type frames inuse: everything from a beacon and association request to a probe request. One of
these management frames is a deauthentication packet, which basically shuts off a
client from the network. The client then has to reconnect—and will do so quickly.
The idea behind this kind of activity is to generate lots of traffic to capture in order
to discern the WEP access code (from clients trying to reassociate to all the new ARPpackets that will come flying around, since many machines will dump their ARPcache after being shut off the network). Remember that the initialization vectors
within WEP are relatively short (24 bits) and are reused frequently, so any attempt tocrack the code requires, in general, around 15,000 or so packets. You can certainlygather these over time, but generating traffic can accomplish it much faster. One
final note on this must be brought up: this type of attack can just as easily result in adenial-of-service attack against hosts and the AP in question, so be careful."
,"Which wireless standard works at 54Mbps on a frequency range of 2.4GHz?
A. 802.11a
B. 802.11b
C. 802.11g
D. 802.11n","C. The 802.11 series of standards identifies a variety of wireless issues, such as the
order imposed on how clients communicate, rules for authentication, data transfer,
size of packets, how the messages are encoded into the signal, and so on. 802.11g
combines the advantages of both the “a” and “b” standards without as many of the
drawbacks. It’s fast (at 54Mbps), is backward compatible with 802.11b clients,
and doesn’t suffer from the coverage area restrictions 802.11a has to contend with.
Considering it operates in the 2.4GHz range, however, there may be some interference
issues to deal with. Not only is a plethora of competing networks blasting their signals
(sometimes on the same channel) near and around your network, but you also have to
consider Bluetooth devices, cordless phones, and even baby monitors that may cause
disruption (due to interference) of wireless signals. Also, microwave ovens happen to
run at 2.45GHz—right smack dab in the middle of the range."
,"The team has discovered an access point configured with WEP encryption. What is
needed to perform a fake authentication to the AP in an effort to crack WEP? (Choose
all that apply.)
A. A captured authentication packet
B. The IP address of the AP
C. The MAC address of the AP
D. The SSID","C, D. Cracking WEP generally comes down to capturing a whole bunch of packets
and running a little math magic to crack the key. If you want to generate traffic by
sending fake authentication packets to the AP, you need the AP’s MAC address and
the SSID to make the attempt."
,"Which of the tools listed here is a passive discovery tool?
A. Aircrack
B. Kismet
C. NetStumbler
D. Netsniff","B. A question like this one can be a little tricky, depending on its wording; however,
per the EC-Council, Kismet works as a true passive network discovery tool, withno packet interjection whatsoever. The following is from www.kismetwireless.net:
“Kismet is an 802.11 layer 2 wireless network detector, sniffer, and intrusion detectionsystem. Kismet will work with any wireless card which supports raw monitoring
(rfmon) mode, and (with appropriate hardware) can sniff 802.11b, 802.11a, 802.11g,
and 802.11n traffic. Kismet also supports plugins which allow sniffing other media.”You might also see two other interesting notables about Kismet on your exam: First,
it works by channel hopping, attempting to discover as many networks as possible.
Second, it has the ability to sniff packets and save them to a log file, readable by
Wireshark or tcpdump."
,"You have discovered an access point using WEP for encryption purposes. Which of thefollowing is the best choice for uncovering the network key?
A. NetStumbler
B. Aircrack
C. John the Ripper
D. Kismet","B. Aircrack is a fast tool for cracking WEP (assuming you’ve collected at least 50,000packets or so, it’ll work swimmingly fast). You’ll need to gather a lot of packets usinganother toolset, but once you have them together, Aircrack does a wonderful jobcracking the key. One method Aircrack uses that you may see referenced on the exam is
KoreK implementation, which basically involves slicing bits out of packets and replacing them with guesses—the more this is done, the better the guessing and, eventually, the
faster the key is recovered. Other tools for cracking WEP include Cain (which can also
use KoreK), KisMac, WEPCrack, and Elcomsoft’s Wireless Security Auditor tool."
,"Which of the following statements are true regarding TKIP? (Choose all that apply.)
A. Temporal Key Integrity Protocol forces a key change every 10,000 packets.
B. Temporal Key Integrity Protocol ensures keys do not change during a session.
C. Temporal Key Integrity Protocol is an integral part of WEP.
D. Temporal Key Integrity Protocol is an integral part of WPA.","A, D. TKIP is a significant step forward in wireless security. Instead of sticking
with one key throughout a session with a client and reusing it, as occurred in
WEP, Temporal Key Integrity Protocol changes the key out every 10,000 packets
or so. Additionally, the keys are transferred back and forth during an Extensible
Authentication Protocol (EAP) authentication session, which makes use of a four-stephandshake process in proving the client belongs to the AP, and vice versa. TKIP came
about in WPA."
,"Regarding SSIDs, which of the following are true statements? (Choose all that apply.)
A. SSIDs are always 32 characters in length.
B. SSIDs can be up to 32 characters in length.
C. Turning off broadcasting prevents discovery of the SSID.
D. SSIDs are part of every packet header from the AP.
E. SSIDs provide important security for the network.
F. Multiple SSIDs are needed to move between APs within an ESS.","B, D. Service set identifiers have only one real function in life, so far as you’re
concerned on this exam: identification. They are not a security feature in any way,
shape, or form, and they are designed solely to identify one access point’s network
from another’s—which is part of the reason they’re carried in all packets. SSIDs
can be up to 32 characters in length but don’t have to be that long (in fact, you’ll
probably discover most of them are not)."
,"You are discussing WEP cracking with a junior pen test team member. Which of the
following are true statements regarding the initialization vectors? (Choose all that apply.)
A. IVs are 32 bits in length.
B. IVs are 24 bits in length.
C. IVs get reused frequently.
D. IVs are sent in clear text.
E. IVs are encrypted during transmission.
F. IVs are used once per encryption session.","B, C, D. Weak initialization vectors and poor encryption are part of the reason WEPimplementation is not encouraged as a true security measure on wireless networks.
And, let’s be fair here, it was never truly designed to be, which is why it’s namedWired Equivalent Privacy instead of Wireless Encryption Protocol (as some have
erroneously tried to name it). IVs are 24 bits in length, are sent in clear text, and arereused a lot. Capture enough packets, and you can easily crack the code."
,"B, C, D. Weak initialization vectors and poor encryption are part of the reason WEPimplementation is not encouraged as a true security measure on wireless networks.
And, let’s be fair here, it was never truly designed to be, which is why it’s namedWired Equivalent Privacy instead of Wireless Encryption Protocol (as some have
erroneously tried to name it). IVs are 24 bits in length, are sent in clear text, and arereused a lot. Capture enough packets, and you can easily crack the code.","A, B, C. Rogue access points (sometimes called evil twin attacks) can provide an easy
way to gain useful information from clueless users on a target network. However,
be forewarned: security personnel can use multiple tools and techniques to discover
rogue APs. NetStumbler is one of the more popular, and useful, tools available. It’s
a great network discovery tool that can also be used to identify rogue access points,
network interference, and signal strength. Kismet, another popular tool, provides
many of the same features and is noted as a “passive” network discovery tool.
NetSurveyor is a free, easy-to-use Windows-based tool that provides many of the
same features as NetStumbler and Kismet and works with virtually every wireless
NIC in modern existence. A “professional” version of NetSurveyor is now available
(you get ten uses of it before you’re required to buy a license). Lastly, identifying a
rogue access point requires the security staff to have knowledge of every access point
owned—and its MAC. If it’s known there are ten APs in the network and suddenly
an 11th appears, that alone won’t help find and disable the bad one. It takes some
level of organization to find these things, and that plays into your hands as an ethical
hacker. The longer your evil twin is left sitting there, the better chance it will be
found, so keep it short and sweet."
,"A pen test member is running the Airsnarf tool from a Linux laptop. What is she attempting?
A. MAC flooding against an AP on the network
B. Denial-of-service attacks against APs on the network
C. Cracking network encryption codes from the WEP AP
D. Stealing usernames and passwords from an AP","D. Identifying tools and what they do is a big part of the exam—which is easy
enough because it’s pure memorization, and this is a prime example. Per the tool’s
website (http://airsnarf.shmoo.com/), “Airsnarf is a simple rogue wireless access
point setup utility designed to demonstrate how a rogue AP can steal usernames
and passwords from public wireless hotspots. Airsnarf was developed and released
to demonstrate an inherent vulnerability of public 802.11b hotspots—snarfing
usernames and passwords by confusing users with DNS and HTTP redirects from a
competing AP.” It basically turns your laptop into a competing AP in the local area
and confuses client requests into being sent your way"
,"What is the integrity check mechanism for WPA2?
A. CBC-MAC
B. CCMP
C. RC4
D. TKIP","A. If you’ve not done your reading and study, this one could be quite tricky.
WPA2 uses CCMP as its encryption protocol, and CCMP uses CBC-MAC for
authentication and integrity. Counter Mode CBC-MAC Protocol is an encryptionprotocol specifically designed for 802.11i wireless networking. CCMP uses
CBC-MAC for authentication and integrity. As for how it exactly provides for
integrity, the true technobabble answer is very long and confusing, but the short of
it is this: the message is encrypted with a block cipher, and the encryption of eachblock in the chain is dependent on the encryption value of the block in front of it. Inother words, if block 2 is altered in any way, then decryption of blocks 3, 4, and soon, becomes impossible. One final note on CCMP for your study and memorization:
CCMP is based on AES processing and uses a 128-bit key and a 128-bit block size,
and ECC sometimes refers to it as AES-CCMP"
,"Which of the following is a true statement regarding wireless security?
A. WPA2 is a better encryption choice than WEP.
B. WEP is a better encryption choice than WPA2.
C. By cloaking the SSID and implementing MAC filtering, you can eliminate the needfor encryption.
D. Increasing the length of the SSID to its maximum increases security for the system.","A. WPA2 is, by far, a better security choice for your system. It makes use of TKIP,
changing out the keys every 10,000 packets instead of using one for the entire session(as in WEP). Additionally, WPA2 uses AES for encryption and a 128-bit encryptionkey, as opposed to RC4 and 24-bit IVs in WEP"
,"A pen test colleague is attempting to use a wireless connection inside the target’s building.
On his Linux laptop he types the following commands:
ifconfig wlan0 down
ifconfig wlan0 hw ether 0A:0B:0C:1A:1B:1C
ifconfig wlan0 up
What is the most likely reason for this action?
A. Port security is enabled on the access point.
B. The SSID is cloaked from the access point.
C. MAC filtering is enabled on the access point.
D. Weak signaling is frustrating connectivity to the access point.","C. The sequence of the preceding commands has the attacker bringing the wireless
interface down, changing its hardware address, and then bringing it back up. The
most likely reason for this is MAC filtering is enabled on the AP, which is restricting
access to only those machines the administrator wants connecting to the wireless
network. The easy way around this is to watch traffic and copy one of the MACaddresses. With a quick spoof on your own hardware, you’re connected. As an aside,
MAC spoofing isn’t just for the wireless world. The command would be slightly
different (wlan0 refers to a wireless NIC; eth0 would be an example of a wired port),
but the idea is the same."
,"An attacker has successfully configured and set up a rogue wireless AP inside his target. As
individuals connect to various areas, he performs a MITM attack and injects a malicious
applet in some of the HTTP connections. This reroutes user requests for certain pages topages controlled by the attacker. Which of the following tools is most likely used by theattacker to inject the HTML code?
A. Aircrack-ng
B. Kismet
C. Ettercap
D. Honeypot","C. Go ahead, get it out of your system. I know you’re sitting there screaming, “What
does Ettercap and MITM have to do with wireless?” That’s precisely why this questionis here. You’ll see this technique employed within the exam in multiple facets. See,
by starting out highlighting the attacker’s use of the evil twin attack, you get lulledinto thinking this is a wireless issue. In reality, the question has nothing to do withthe wireless aspect; instead, the MITM portion is what really matters. So while youwere ready to pounce on a wireless tool, and Aircrack-ng really jumped out at you,
the MITM attack tool—Ettercap—was really where your attention should’ve been"
,"Which of the following is the best choice in searching for and locating rogue access points?
A. WIPS
B. Dipole antenna
C. WACL
D. HIDS","A. Of the choices provided, the wireless intrusion prevention system is the best choice.
A WIPS is a network device that, among other things, monitors wireless traffic for the"
,"Charity visits a client business she has worked with multiple times. When she opens her
laptop, her wireless connection attempts to automatically connect to the network, namedBUSINESS1. Unbeknownst to her, an attacker has set up a cloned network with the
same details. As her connection begins, he sends and continues to resend the third step of connection handshake. After many iterations of this, the attacker gains enough decrypted
details to crack the encryption key. Which of the following best describes this attack?
A. Rogue AP
B. AP MAC spoofing
C. aLTEr
D. KRACK","D. Of the choices provided, KRACK (Key Reinstallation Attack) comes the closest
to fitting the bill. First, you should know that KRACK is largely defunct as an attack
nowadays—most modern systems protect against it, and it won’t work. However,
you’ll no doubt see a question about it, so let’s dive in.
KRACK works by exploiting the four-way handshake all WPA2 wireless networks
take part in. During this exchange, the wireless systems blasts out something called
an ANonce (a one-time, randomly generated number, more or less). The client receives it,
runs some calculation of its own, and responds with another randomly generated
SNonce. If everything looks okay, the wireless system sends the GTK (Group Temporal
Key), which is the encryption key the WPA2 system uses for broadcast and multicast
messages. If everything looks right the client connects, you’re off and running.
In a KRACK attack, the cloned system run by the bad guy keeps resending the third
part of the handshake to the client. Each time the client accepts the connection
request, a small piece of data is decrypted and, over several iterations, the encryption
key is cracked.
One last thing—KRACK needs proximity to work. In other words, assuming we go
back in time before OS patches were created to prevent the attack, you’d have to be
close to your target to set things up. There’s only so much reach a wireless system has,
and you’d have to be inside that range to even attempt KRACK."
,"A company hires you as part of its security team. The company is implementing new policies
and procedures regarding mobile devices in the network. Which of the following would not
be a recommended practice?
A. Create a BYOD policy and ensure all employees are educated about and made aware
of it.
B. Whitelist applications and ensure all employees are educated about and made aware
of them.
C. Allow jailbroken and rooted devices on the network, as long as employees have signedthe policy.
D. Implement MDM.","C. Bring your own device (BYOD) and mobile device management (MDM) are
becoming more and more of a headache for security administrators. BYOD is the
idea that employees can bring their own smartphones, tablets, and mobile devices
to the workplace and use them as part of the enterprise network. Mobile device
management (often implemented with the use of a third-party product containing
management features for mobile device vendors) is an effort to administrate and
secure mobile device use within the organization.
Obviously, having mobile devices roaming in and out of a network can cause a variety
of security issues, and lots of commonsense steps can be taken to address this. Allowing
rooted and jailbroken devices—essentially devices that could have any number of
installed (knowingly or not) issues on them—is not among the good steps to take."
,"Which of the following tools would be used in a blackjacking attack?
A. Aircrack
B. BBCrack
C. BBProxy
D. Paros Proxy","C.This is another tool-specific question, but one that should be relatively easy.
Blackjacking and BBProxy were exposed at Defcon several years ago, so this isn’t anything
new in terms of an attack. In short, a Blackberry device is, in effect, part of the internal
network, and configuring an attack properly on the handset may provide access to resources on the internal network. BBProxy is used in part of this attack, and you can seethe whole thing pulled off at the following link from the original presentation in 2006:
www.praetoriang.net/presentations/blackjack.html"
,"Which of the following tools is a vulnerability scanner for Android devices?
A. X-ray
B. evasi0n7
C. Pangu
D. DroidSheep Guard","A. Mobile tools will pop up all over the place on your exam, so do your best to get
as much exposure to as many of them as possible. X-ray is an Android vulnerabilityscanner explicitly called out by EC-Council. It searches out unpatched vulnerabilities
and automatically updates for new vulnerability signatures as they are discovered."
,"Which type of jailbreaking allows user-level access but does not allow iBoot-level access?
A. iBoot
B. Bootrom
C. Userland
D. iRoot","C. I don’t own an iPhone, iPod, or iAnything, and have no desire to. However, sinceiOS is one of the most popular mobile device operating systems, I have to have at
least some working knowledge of it. And you do, too, if you want to be a CEH.
Jailbreaking an iPhone is the process of removing the software restrictions imposedby Apple so you can install a modified set of kernel patches, thereby allowing you torun whatever software or updates you want. EC-Council lists three main methods of
jailbreaking, two of which (iBoot and Bootrom) allow something called iBoot access.
iBoot access basically refers to the ability to affect the firmware itself.
Userland is a term referring to the software running on the iOS device after the
kernel has loaded. Therefore, a userland jailbreak, being entirely software based, canbe patched by Apple after the effort. Userland jailbreaks include JailbreakMe Star,
Saffron, Spirit, Absinthe, evasi0n, and Pangu."
,"Jack receives a text message on his phone advising him of a major attack at his bank. The
message includes a link to check his accounts. After he clicks the link, an attacker takes
control of his accounts in the background. Which of the following attacks is Jack facing?
A. Phishing
B. Smishing
C. Vishing
D. App sandboxing","B. Smishing is the term given to a mobile device attack whereby an attacker sends an
SMS text message to a target with an embedded link. If the user clicks the malicious
link, the attacker gains valuable information and control. These attacks are successful
for largely the same reasons phishing is so effective in the e-mail world—people
just click through sometimes without pausing to think about it. Users who would
otherwise ignore an e-mail with a link in it from an unknown (or even known) source
sometimes don’t think twice when the link is in a text message."
,"Which of the following allows an Android user to attain privileged control of the device?
A. DroidSheep
B. SuperOneClick
C. Faceniff
D. ZitMo","B. Rooting of an Android device is the same idea as jailbreaking an iOS one:
allowing the user total control over the device to add applications, modify systemfiles and actions, and (in some cases and usually risking security to do so) improve
performance. Rooting can be done in a variety of methods, but some tools you can
use are SuperOneClick, Superboot, One Click Root, and Kingo. With SuperOneClick,
you simply connect the phone to a system over USB (ensuring it’s in charge mode
only), enable USB Debugging, and run the application."
,"An individual attempts to make a call using his cell phone; however, it seems
unresponsive. After a few minutes of effort, he turns it off and turns it on again. Duringhis next phone call, the phone disconnects and becomes unresponsive again. WhichBluetooth attack is underway?
A. Bluesmacking
B. Bluejacking
C. Bluesniffing
D. Bluesnarfing","A. From the description, it appears the phone is either defective or—since it’s spelledout so nicely in the question for you—there is a denial-of-service attack against thephone. Bluesmacking is a denial-of-service attack on a Bluetooth device. An attacker
somewhere nearby (within ten meters or, for the real bad guys, farther away using a bigenough transmitter, amplifier, and antenna) is using something like the Linux Bluez
packages (www.bluez.org) to carry out a DoS against the phone."
,"Which of the following is a pairing mode in Bluetooth that rejects every pairing request?
A. Non-pairing
B. Non-discoverable
C. Promiscuous
D. Bluejack","A. When you get a simple question on the exam, celebrate. Bluetooth has two pairingmodes and three discovery modes. Pairing—the decision to pair with another devicerequesting it—is either turned on (pairing mode, where every request is accepted) or
off (non-pairing mode, where every request is rejected). Discovery—the decision torespond to search requests and let the inquiry know the device is live and available—can be fully on (discoverable mode, responding to everything from everyone),
partially on (limited-discoverable mode, responding only during a short time span),
or off altogether (non-discoverable mode, never answering an inquiry)."
,"An attacker is using Shodan to search for devices on a target. She types the following
as the search string: webcam geo:“ -85.97,31.81”. Which of the following statements
correctly describes this action?
A. The search string syntax is incorrect.
B. The attacker is searching for webcams with serial numbers starting with numbers
between 3181 and 8597.
C. The attacker is searching for webcam manufacturers starting with “geo.”
D. The attacker is searching for webcams in the geographic location -31.80, 85.95
(longitude and latitude).","D. While Google and other search engines index the Web, Shodan (https://www.shodan.io) indexes everything connected to the Internet. It’s an incredible search
engine tool for, well, everything. Want to find Samsung wearables in a specific city?
Grab a model number and use the city: filter. How about IIS servers on a specific
subnet? Try iis net:xxx.xxx.xxx.xxx/yy (where the x’s are your subnet and yy is your
CIDR notation). If you want to get really specific on your location, you can use the
geo: filter, along with latitude and longitude coordinates. The Shodan geo: filter
actually accepts between two and four coordinate parameters. The example used two,
showing a latitude/longitude pair. If the example used three coordinates, they would
represent latitude, longitude, and range. Add a fourth coordinate, and you create
a geographic box to search in: top-left latitude, top-left longitude, bottom-right
latitude, bottom-right longitude."
,"Which of the following is the most popular short-range communication technology for
IoT devices?
A. RFID
B. Zigbee
C. QR codes
D. LiFi","B. IoT devices make use of many wireless communications technologies, and some of
them have fairly weird names. Zigbee is, according to EC-Council, the world’s most
popular IoT device communication technology. As a result, you should know that
it is based on the IEEE 203.15.4 standard, and you can use tools like KillerBee toattack devices using it. Yes, I know this is a weird thing to ask a question about. No, I
didn’t do it because I’m a sadist. Know Zigbee. Learn it well. You’ll thank me later."
,"Within the IoT architecture, which of the following carries out message routing andidentification?
A. Edge Technology layer
B. Access Gateway layer
C. Internet layer
D. Middleware layer","B. IoT architecture, laid out by EC-Council, includes the Edge Technology, Access
Gateway, Internet, Middleware, and Application layers. Each of these has informationworth remembering for your exam, and in this case we’re talking about the Access
Gateway layer. Here, we find the gap between the device and the client, and the first
data handling occurs in this layer. Message routing, identification, and subscribingoccur here."
,"A homeowner accesses an app on his cell phone to set up a view list on his television.
Which IoT communication model is in play here?
A. Device-to-gateway
B. Back-end data sharing
C. Device-to-cloud
D. Device-to-device","A. IoT communication models seem pretty straightforward, but there are some
weird one-off comparisons here and there. In this case, the smartphone—more
appropriately, the app on the smartphone used by the owner—acts as the gateway,
and the TV is the device. In device-to-gateway, the IoT device communicates with anintermediary—a gateway—which in turn communicates with the cloud service. As
an aside, and a good study/memorization tip, the gateway is almost always an app ona smartphone."
,"In which attack on VANET do vehicles appear to be in multiple places at once, causing
congestion and severely impairing the use of data?
A. Rolling code
B. BlueBorne
C. Side channel
D. Sybil","D. As with every other area in computing, IoT has loads of attacks and vulnerabilities
to talk about. In this particular example, called the Sybil attack, a vehicle or device
creates the illusion of another identity (in this example, being in more than one place at
a time), causing congestion and the associated insanity that goes along with it. When it
comes to VANET (vehicular ad-hoc network), this could be particularly dangerous. Ona standard network, it can cause numerous DDoS problems."
,"Of the tools listed, which is the best choice for quickly discovering IP addresses of IoTdevices on your network?
A. IoTInspector
B. MultiPing
C. Z-Wave Sniffer
D. beSTORM","B. Many of the tools you already know about will work just as well in IoT land, andMultiPing (https://www.multiping.com/) is a good example. MultiPing has beenaround for a while and is a quick-and-dirty way to discover systems hanging out onyour network. Even those pesky IoT devices can be found using it. Is MultiPing theabsolute best way to discover your IoT devices? Probably not. Will it work quickly,
as described in this question? Absolutely."
,"In October 2016, a DDoS attack involving millions of IoT devices caused a disruption of
service to large numbers of users in North America and Europe. Which of the followingmalware was used in the attack?
A. WannaCry
B. Cryptolocker
C. Locky
D. Mirai","D. It’s hard to believe something as simple as a baby monitor can be leveraged as
an attack platform, but in the fall of 2016 that’s exactly what happened. The Mirai
malware, created to deliberately find IoT devices to infect, created a botnet of immense proportions. This was then leveraged in a series of distributed denial-ofservice attacks against systems operated by the DNS provider Dyn (since acquired by
Oracle). The attack caused major disruptions across North America and Europe and
serves as a lasting reminder that security for IoT is sorely lacking. As an interesting
aside, the original Mirai attack worked because it made use of something any firstyear college student in cybersecurity would be able to recognize as a dumb security
oversight—it used default credentials commonly used by a bunch of IoT devices."
,"Which of the following are valid countermeasures in the prevention of IoT hacking?
(Choose all that apply.)
A. Disable guest and demo accounts.
B. Enable lockout features for excessive login attempts.
C. Disable Telnet.
D. Implement patch management and ensure device firmware is up to date.","A, B, C, D. I was going to say that securing IoT is the same as securing everything
else, but that wouldn’t be wholly true. It’s not that the same countermeasures
shouldn’t be used—of course the same basic-level approach applies across the board.
Disabling unused services, ports, and built-in accounts, changing default passwords,
enabling lockout mechanisms, and making sure your patch levels are current are all
basic items of security note no matter what you’re talking about. It’s not the measures
themselves that make securing IoT so difficult—the rub is keeping up with them.
As discussed in the companion book, CEH Certified Ethical Hacker All-in-One ExamGuide, Fifth Edition, IoT is expanding by the day, and a semi-secured network today
might be blown wide open by the addition of someone’s BYOD Internet-enabled
underwear tomorrow (don’t laugh, it’s actually a thing now). Countermeasures for
securing IoT are the same as you’d see anywhere else, with a few additional CEH items
thrown in for good measure (for example, ECC recommends you monitor port 48101
well, since IoT malware has been known to spread using it). Questions regarding this
topic should be of the commonsense variety for you, so prepping for your exam in
this arena is relatively easy. However, in the real world, vigilance—unending, tiring,
monotonous, Sisyphus-level vigilance—is really going to be your only hope."
,"Within the Attify Zigbee Framework, which of the following is used to discover target
devices within range?
A. zbstumbler
B. zbdump
C. zbreplay
D. zbassoc/flood","A. Let’s play a little Q&A game, shall we? I’ll introduce you to a collection of tools,
presented by Attify in its Zigbee Framework, and then ask you to identify what eachdoes without you ever seeing the tool, based solely on the knowledge you have fromstudying the rest of your CEH material. Ready? Here we go: Identify zbstumbler.
Identify zbdump. Now identify zbreplay. See a pattern yet? These are all the same
names and functions you’ve seen in other toolsets, except these start with zb. In this
case, zbstumbler is a lot like NetStumbler, allowing you to ID devices within range.
Now, before anyone gets all preachy on me, I am not advising you to ignore the
framework and just memorize terms for an exam. Indeed, it’s quite the opposite—I want you to actually know how to use these tools so that when you pass your
exam, the certification will matter. Go grab the framework (https://github.com/
attify/Attify-Zigbee-Framework) and practice. Find a light bulb in your house
and attack it (you can watch someone do it here: https://www.youtube.com/
watch?v=uivlSdqWS48). When you see identification questions like this on the exam,
just use common sense."
,"Which of the following is an advanced hardware- and software-designed radio used for
security testing in IoT?
A. Fluke
B. Raspberry Pi
C. HackRF One
D. Alfa AWUS036NH","C. There are few certainties in life—the rising and setting of the sun every day,
lovebugs making life miserable for a couple months each year in the South, andever-increasing taxes on everything from income to gas. One you can add to your
list is HackRF One being on your CEH exam. This handy little piece of hardware
exploded onto the scene in a Kickstarter campaign in 2014. Its creator, Michael
Ossmann, called it Project Jawbone back then, and its open source nature attracted alot of attention. On the good side, information security folks saw a great tool to helpin testing their wireless offerings. On the bad side, hackers immediately saw a quickand-easy way to jam, disrupt, and hack IoT devices everywhere.
For the just under $300, you too can own a HackRF One device (https://
greatscottgadgets.com/hackrf/). According to the website, HackRF One was
“designed to enable test and development of modern and next generation radiotechnologies...and is an open source hardware platform that can be used as a USBperipheral or programmed for stand-alone operation.” What’s really interesting (and quite humorous to me), however, is the very next statement: “HackRF One is test
equipment for RF systems. It has not been tested for compliance with regulations
governing transmission of radio signals. You are responsible for using your HackRF
One legally.”
HackRF One is capable of receiving and transmitting on a frequency range of 1 MHz
to 6 GHz, and it transmits and receives half-duplex. It has become a valuable and
prized hacking tool due to its ease of use. Just be careful, though. Remember, you are
responsible for its legal use."
,"Which of the following is a model widely used to describe internal communications
within industrial control system (ICS) networks?
A. Purdue model
B. IIOT
C. SCADA
D. PLC","A. The Purdue model, formerly called PERA (Purdue Enterprise Refence
Architecture), is simply a structural model for industrial control system (ICS)
networks that defines six distinct layers—with defined components and relevant
security controls for each.
Developed in the 1990s by the Purdue University Consortium for computerintegrated manufacturing, it was adopted by ISA-99 and shows the connections and
dependencies of main components within a typical ICS.
The model splits ICS architecture into two zones (OT and IT), divided by a DMZ.
Each zone is further divided by levels relevant to specific component and function: • Level 0 is the assets that send information to the programmable logic controllers
(PLCs), such as sensors, pumps, valves, and motors. Multiple types exist within
each (passive or active, analog or digital, and so on). • Level 1 includes the PLCs, remote terminal units (RTUs), and intelligent
electronic devices (IEDs). These are the assets that monitor Level 1 and send
commands to the assets. • Level 2 contains human-machine interfaces (HMIs) and SCADA software. These
monitor and manage overall processes within the system.
• Level 3 holds all the systems that provide information on management of
production workflows. • Level 4 includes enterprise resource planning (ERP) software and other systems
for managing operations logistics. • Level 5 is the enterprise network itself."
,"Which IoT communication model adds the ability for third parties to collect and use data?
A. Device-to-device
B. Device-to-cloud
C. Device-to-gateway
D. Back-end data sharing","D. Even if you didn’t know a thing about IoT communication models, this one hadto be at least somewhat obvious. In the back-end data-sharing model, the device
communicates directly via CoAP or HTTP to the application service provider, andthe data is then made available to third parties. As an aside, this method may or maynot make use of an internal gateway"
